ZIP,COUNTY,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
92623,06059,IRVINE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92624,06059,CAPISTRANO BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
92625,06059,CORONA DEL MAR,CA,1.000000000,1.000000000,1.000000000,1.000000000
92626,06059,COSTA MESA,CA,1.000000000,1.000000000,1.000000000,1.000000000
92627,06059,COSTA MESA,CA,1.000000000,1.000000000,1.000000000,1.000000000
92628,06059,COSTA MESA,CA,1.000000000,1.000000000,1.000000000,1.000000000
92629,06059,DANA POINT,CA,1.000000000,1.000000000,1.000000000,1.000000000
92630,06059,LAKE FOREST,CA,1.000000000,1.000000000,1.000000000,1.000000000
92637,06059,LAGUNA WOODS,CA,1.000000000,1.000000000,1.000000000,1.000000000
92646,06059,HUNTINGTON BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
92647,06059,HUNTINGTON BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
92648,06059,HUNTINGTON BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
92649,06059,HUNTINGTON BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
92650,06059,EAST IRVINE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92651,06059,LAGUNA BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
92652,06059,LAGUNA BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
92653,06059,LAGUNA HILLS,CA,1.000000000,1.000000000,1.000000000,1.000000000
92654,06059,LAGUNA HILLS,CA,1.000000000,1.000000000,1.000000000,1.000000000
92655,06059,MIDWAY CITY,CA,1.000000000,1.000000000,1.000000000,1.000000000
92656,06059,ALISO VIEJO,CA,1.000000000,1.000000000,1.000000000,1.000000000
92657,06059,NEWPORT COAST,CA,1.000000000,1.000000000,1.000000000,1.000000000
92658,06059,NEWPORT BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
92659,06059,NEWPORT BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
92660,06059,NEWPORT BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
92661,06059,NEWPORT BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
92662,06059,NEWPORT BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
92663,06059,NEWPORT BEACH,CA,1.000000000,1.000000000,1.000000000,1.000000000
92672,06073,SAN CLEMENTE,CA,0.069492550,0.001847291,0.051605161,0.062170569
92672,06059,SAN CLEMENTE,CA,0.930507450,0.998152709,0.948394839,0.937829431
92673,06059,SAN CLEMENTE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92674,06059,SAN CLEMENTE,CA,1.000000000,1.000000000,1.000000000,1.000000000
92675,06059,SAN JUAN CAPISTRANO,CA,1.000000000,1.000000000,1.000000000,1.000000000
92676,06059,SILVERADO,CA,1.000000000,1.000000000,1.000000000,1.000000000
92677,06059,LAGUNA NIGUEL,CA,1.000000000,1.000000000,1.000000000,1.000000000
92678,06059,TRABUCO CANYON,CA,1.000000000,1.000000000,1.000000000,1.000000000
92679,06059,TRABUCO CANYON,CA,1.000000000,1.000000000,1.000000000,1.000000000
92683,06059,WESTMINSTER,CA,1.000000000,1.000000000,1.000000000,1.000000000
92684,06059,WESTMINSTER,CA,1.000000000,1.000000000,1.000000000,1.000000000
92685,06059,WESTMINSTER,CA,1.000000000,1.000000000,1.000000000,1.000000000
92688,06059,RANCHO SANTA MARGARITA,CA,1.000000000,1.000000000,1.000000000,1.000000000
92690,06059,MISSION VIEJO,CA,1.000000000,1.000000000,1.000000000,1.000000000
92691,06059,MISSION VIEJO,CA,1.000000000,1.000000000,1.000000000,1.000000000
92692,06059,MISSION VIEJO,CA,1.000000000,1.000000000,1.000000000,1.000000000
92693,06059,SAN JUAN CAPISTRANO,CA,1.000000000,1.000000000,1.000000000,1.000000000
92694,06059,LADERA RANCH,CA,1.000000000,1.000000000,1.000000000,1.000000000
92697,06059,IRVINE,CA,0.000000000,1.000000000,1.000000000,1.000000000
92698,06059,ALISO VIEJO,CA,0.000000000,1.000000000,0.000000000,1.000000000
92701,06059,SANTA ANA,CA,1.000000000,1.000000000,1.000000000,1.000000000
